date,field_1,field_2,field_3,field_4,field_5
2017-01-07,0.1838349390173218,0.2596823523829623,0.19756632684557526,0.21079859928195846,0.26118033043770533
2017-01-19,0.23860059031280398,0.33911193252336685,0.2813399114680511,0.25651507594719014,0.25658689169627313
2017-01-31,0.1988457305976422,0.2581954386230649,0.21368734283303772,0.29929269166855976,0.3259900984775194
2017-02-12,0.19896337599369848,0.2236322946955518,0.19540477388848862,0.20888556527808821,0.20624128703293781
2017-02-24,0.18942877338302502,0.19278624888782095,0.1403570049614818,0.15805426441004564,0.14474622968048811
2017-03-08,0.22865054053704748,0.2800897081523407,0.20336503790760482,0.2623494158723745,0.2026174354493125
2017-03-20,0.30657142555137246,0.39043058353953247,0.2658528522070911,0.3092636733926062,0.2711543499914912
2017-04-01,0.10822633998696153,0.27186418727403733,0.2242029280298286,0.23055979567098206,0.26222479243636626
2017-04-13,0.11204751687447019,0.11334328540032956,0.22254746365878317,0.18083669395539267,0.22017053376031884
2017-04-25,0.11641052673698485,0.12919265983671677,0.21245673133267295,0.3627378369970568,0.2909295689449439
2017-05-07,0.11095966693057455,0.11811465483249688,0.251284584403038,0.3248858334496617,0.3036164750442325
2017-05-19,0.24360005293085016,0.2767363560127049,0.32342726219859386,0.159867,0.304011678922201
2017-05-31,0.14215128065169047,0.162726541634013,0.29235480491209914,0.1242271699075555,0.2555110277116853
2017-06-12,0.12571856270442291,0.13133923979612386,0.24894924655004783,0.10564633796858633,0.08266058338241654
2017-06-24,0.18826477443373799,0.17824014374395697,0.37095586369159045,0.11468833471519936,0.09206823576453614
2017-07-06,0.18704335519788623,0.18008026248252973,0.31491385669344,0.09415524213350025,0.06330401706581525
2017-07-30,0.2104837106269617,0.19883016159076516,0.2895275081197421,0.08362288638660363,0.17650871198420195
2017-08-11,0.18149542778445354,0.17934324444248909,0.09916075398386628,0.10052748859603086,0.1471712150617725
2017-08-23,0.19661181634262315,0.2088067780762184,0.09713017371379667,0.16226509663693864,0.14284454806945687
2017-09-04,0.19602988155976364,0.18156506210202125,0.07706498382268129,0.1296772194833591,0.09677345858599833
2017-09-16,0.19646253413050638,0.15903915811602662,0.07976653739051134,0.13237564573385593,0.14587902678359752
2017-09-28,0.1481500055351939,0.14435661470744668,0.0852775871063824,0.1417694938690241,0.14193566603491695
2017-10-10,0.14861082495264433,0.14588881393758263,0.09297039428794826,0.23204052602422648,0.1658256137339088
2017-10-22,0.2664973906357154,0.270158615766502,0.22207980382221718,0.24892313416148054,0.13552387890087164
2017-11-03,0.16301553631864496,0.15219123646071772,0.1500993256146709,0.2267855559700522,0.059193454203200685
2017-11-15,0.17725359814540423,0.1699224431303943,0.18074777732706732,0.21425855629274557,0.06207941343859531
2017-11-27,0.21284133468840694,0.26490162197409606,0.2305241191966666,0.28039794480749247,0.2901102681533504
2017-12-09,0.24182648717660327,0.27640308381580725,0.2469298275946467,0.2072496926604674,0.19188639769309432
2017-12-21,0.17203214262017344,0.22067709118127823,0.17575171889944208,0.3298821107066911,0.3701904350747244
